"pair_label","var1","var2","r_R_billard","r_R_billard_defined","r_R_het","r_R_het_defined"
"Probe_5308--Probe_45","Probe_5308","Probe_45",0.791604874162603,TRUE,0.385009481856755,TRUE
"Probe_5308--Probe_7185","Probe_5308","Probe_7185",0.791604874162603,TRUE,0.385009481856755,TRUE
"Probe_5308--Probe_5998","Probe_5308","Probe_5998",0.85293596514855,TRUE,0.616982311693114,TRUE
"Probe_5308--Probe_13266","Probe_5308","Probe_13266",0.955888999891807,TRUE,0.907310041623773,TRUE
"Probe_5308--Probe_46","Probe_5308","Probe_46",0.675793966372967,TRUE,-0.0958297672314174,TRUE
"Probe_5308--Probe_7186","Probe_5308","Probe_7186",0.675793966372967,TRUE,-0.0958297672314174,TRUE
"Probe_5308--Probe_6731","Probe_5308","Probe_6731",0.608588048137922,TRUE,-0.448150610626971,TRUE
"Probe_5308--Probe_3597","Probe_5308","Probe_3597",0.936637453691064,TRUE,0.847476768875688,TRUE
"Probe_5308--Probe_5729","Probe_5308","Probe_5729",0.766149485464962,TRUE,0.279602090214745,TRUE
"Probe_5308--Probe_1995","Probe_5308","Probe_1995",0.986302822507956,TRUE,0.980966152692361,TRUE
"Probe_5308--Probe_4454","Probe_5308","Probe_4454",0.788975984253601,TRUE,0.369315498298397,TRUE
"Probe_5308--Probe_4614","Probe_5308","Probe_4614",0.949577590911594,TRUE,0.895826850570056,TRUE
"Probe_5308--Probe_14347","Probe_5308","Probe_14347",0.487796120878608,TRUE,-0.330974333329745,TRUE
"Probe_5308--Probe_6457","Probe_5308","Probe_6457",0.920087484073539,TRUE,0.825137989719084,TRUE
"Probe_5308--Probe_6732","Probe_5308","Probe_6732",0.934471541066608,TRUE,0.951262484995683,TRUE
"Probe_5308--Probe_7889","Probe_5308","Probe_7889",0.884018326372428,TRUE,0.782171691072376,TRUE
"Probe_5308--Probe_1009","Probe_5308","Probe_1009",0.859431867099801,TRUE,0.633290893114434,TRUE
"Probe_5308--Probe_4351","Probe_5308","Probe_4351",0.893703835745163,TRUE,0.741061222530949,TRUE
"Probe_5308--Probe_7096","Probe_5308","Probe_7096",0.867806294075034,TRUE,0.666645792509939,TRUE
"Probe_5308--Probe_4602","Probe_5308","Probe_4602",0.898228672785333,TRUE,0.752620465819652,TRUE
"Probe_5308--Probe_930","Probe_5308","Probe_930",0.770248738558293,TRUE,0.298746539808244,TRUE
"Probe_5308--Probe_9236","Probe_5308","Probe_9236",0.753011992826627,TRUE,0.419731082624624,TRUE
"Probe_5308--Probe_42","Probe_5308","Probe_42",0.827044589839162,TRUE,0.53839812182487,TRUE
"Probe_5308--Probe_7182","Probe_5308","Probe_7182",0.827044589839162,TRUE,0.53839812182487,TRUE
"Probe_5308--Probe_2799","Probe_5308","Probe_2799",0.853187498577592,TRUE,0.631004058328767,TRUE
"Probe_5308--Probe_5989","Probe_5308","Probe_5989",0.910490672562758,TRUE,0.862193948496003,TRUE
"Probe_5308--Probe_331","Probe_5308","Probe_331",0.904449809612879,TRUE,0.764578795116495,TRUE
"Probe_5308--Probe_746","Probe_5308","Probe_746",0.847978052281647,TRUE,0.616706808706518,TRUE
"Probe_5308--Probe_5320","Probe_5308","Probe_5320",0.871807051997837,TRUE,0.672529908020769,TRUE
"Probe_5308--Probe_3147","Probe_5308","Probe_3147",0.918186001748639,TRUE,0.809370245792091,TRUE
"Probe_5308--Probe_1277","Probe_5308","Probe_1277",0.957192290958763,TRUE,0.920101084104997,TRUE
"Probe_5308--Probe_2384","Probe_5308","Probe_2384",0.923578318587703,TRUE,0.815781738470237,TRUE
"Probe_5308--Probe_928","Probe_5308","Probe_928",0.935159894823861,TRUE,0.901722686596974,TRUE
"Probe_5308--Probe_8028","Probe_5308","Probe_8028",0.76279974600808,TRUE,0.459999457685127,TRUE
"Probe_5308--Probe_15809","Probe_5308","Probe_15809",0.885218569803637,TRUE,0.721612036416714,TRUE
"Probe_5308--Probe_3365","Probe_5308","Probe_3365",0.906947107076866,TRUE,0.769920041888681,TRUE
"Probe_5308--Probe_6729","Probe_5308","Probe_6729",0.834718338010263,TRUE,0.577871259633317,TRUE
"Probe_5308--Probe_1090","Probe_5308","Probe_1090",0.867472831913471,TRUE,0.660528713720186,TRUE
"Probe_5308--Probe_3539","Probe_5308","Probe_3539",0.929902984466047,TRUE,0.831295264528904,TRUE
"Probe_5308--Probe_6486","Probe_5308","Probe_6486",0.945694977370977,TRUE,0.870525269117465,TRUE
"Probe_5308--Probe_6813","Probe_5308","Probe_6813",0.926185997522572,TRUE,0.854203493344837,TRUE
"Probe_5308--Probe_13869","Probe_5308","Probe_13869",0.888942684933741,TRUE,0.77592482971478,TRUE
"Probe_5308--Probe_5186","Probe_5308","Probe_5186",0.913758778627544,TRUE,0.795438416952243,TRUE
"Probe_5308--Probe_3720","Probe_5308","Probe_3720",0.897553780195337,TRUE,0.746315761795939,TRUE
"Probe_5308--Probe_6142","Probe_5308","Probe_6142",0.811167251832019,TRUE,0.54178739671683,TRUE
"Probe_5308--Probe_3909","Probe_5308","Probe_3909",0.944584920663,TRUE,0.911676231117419,TRUE
"Probe_5308--Probe_11812","Probe_5308","Probe_11812",0.711768636074293,TRUE,0.383661950439805,TRUE
"Probe_5308--Probe_2452","Probe_5308","Probe_2452",0.911408913410046,TRUE,0.790637026736318,TRUE
"Probe_5308--Probe_7001","Probe_5308","Probe_7001",0.183992630205368,TRUE,-0.209008550980136,TRUE
"Probe_45--Probe_7185","Probe_45","Probe_7185",1,TRUE,1,TRUE
"Probe_45--Probe_5998","Probe_45","Probe_5998",0.892218906339781,TRUE,0.535209314174351,TRUE
"Probe_45--Probe_13266","Probe_45","Probe_13266",0.78372212809498,TRUE,0.459010379391565,TRUE
"Probe_45--Probe_46","Probe_45","Probe_46",0.97311389335627,TRUE,0.807199523664224,TRUE
"Probe_45--Probe_7186","Probe_45","Probe_7186",0.97311389335627,TRUE,0.807199523664224,TRUE
"Probe_45--Probe_6731","Probe_45","Probe_6731",0.908615052640297,TRUE,0.289767534300064,TRUE
"Probe_45--Probe_3597","Probe_45","Probe_3597",0.806871791635843,TRUE,0.278641980368195,TRUE
"Probe_45--Probe_5729","Probe_45","Probe_5729",0.931887692492473,TRUE,0.516284463902039,TRUE
"Probe_45--Probe_1995","Probe_45","Probe_1995",0.752927373866001,TRUE,0.430842418126392,TRUE
"Probe_45--Probe_4454","Probe_45","Probe_4454",0.9067456738932,TRUE,0.307891522515888,TRUE
"Probe_45--Probe_4614","Probe_45","Probe_4614",0.741328462817555,TRUE,0.319231157446863,TRUE
"Probe_45--Probe_14347","Probe_45","Probe_14347",0.792751807358538,TRUE,0.168357599587921,TRUE
"Probe_45--Probe_6457","Probe_45","Probe_6457",0.901449830015792,TRUE,0.487169393852934,TRUE
"Probe_45--Probe_6732","Probe_45","Probe_6732",0.630292048700619,TRUE,0.406382517940596,TRUE
"Probe_45--Probe_7889","Probe_45","Probe_7889",0.734524936910462,TRUE,0.431393769345269,TRUE
"Probe_45--Probe_1009","Probe_45","Probe_1009",0.882755978192811,TRUE,0.449034624229902,TRUE
"Probe_45--Probe_4351","Probe_45","Probe_4351",0.79873372372032,TRUE,0.282461274266028,TRUE
"Probe_45--Probe_7096","Probe_45","Probe_7096",0.946389536117996,TRUE,0.684623742244939,TRUE
"Probe_45--Probe_4602","Probe_45","Probe_4602",0.905950494163807,TRUE,0.53197102009596,TRUE
"Probe_45--Probe_930","Probe_45","Probe_930",0.931194389129183,TRUE,0.518386009547427,TRUE
"Probe_45--Probe_9236","Probe_45","Probe_9236",0.788250563856542,TRUE,0.3302828798614,TRUE
"Probe_45--Probe_42","Probe_45","Probe_42",0.911948562346265,TRUE,0.607988743555061,TRUE
"Probe_45--Probe_7182","Probe_45","Probe_7182",0.911948562346265,TRUE,0.607988743555061,TRUE
"Probe_45--Probe_2799","Probe_45","Probe_2799",0.956585567112209,TRUE,0.698182402716008,TRUE
"Probe_45--Probe_5989","Probe_45","Probe_5989",0.665616304269448,TRUE,0.324978054482251,TRUE
"Probe_45--Probe_331","Probe_45","Probe_331",0.817905911170508,TRUE,0.309368366415954,TRUE
"Probe_45--Probe_746","Probe_45","Probe_746",0.955809625774156,TRUE,0.680733110266063,TRUE
"Probe_45--Probe_5320","Probe_45","Probe_5320",0.894759500554872,TRUE,0.438285561403298,TRUE
"Probe_45--Probe_3147","Probe_45","Probe_3147",0.801532080577907,TRUE,0.398084091430445,TRUE
"Probe_45--Probe_1277","Probe_45","Probe_1277",0.747602849254777,TRUE,0.409241248148252,TRUE
"Probe_45--Probe_2384","Probe_45","Probe_2384",0.85739160431243,TRUE,0.404806013737856,TRUE
"Probe_45--Probe_928","Probe_45","Probe_928",0.706303359318028,TRUE,0.421962160825199,TRUE
"Probe_45--Probe_8028","Probe_45","Probe_8028",0.769751800646423,TRUE,0.313567734374868,TRUE
"Probe_45--Probe_15809","Probe_45","Probe_15809",0.82130826970274,TRUE,0.395359967273213,TRUE
"Probe_45--Probe_3365","Probe_45","Probe_3365",0.837307691436273,TRUE,0.309093114725848,TRUE
"Probe_45--Probe_6729","Probe_45","Probe_6729",0.830391905259443,TRUE,0.324126711664766,TRUE
"Probe_45--Probe_1090","Probe_45","Probe_1090",0.904631651501403,TRUE,0.46936354095987,TRUE
"Probe_45--Probe_3539","Probe_45","Probe_3539",0.833957837130201,TRUE,0.330315841364459,TRUE
"Probe_45--Probe_6486","Probe_45","Probe_6486",0.813457456737409,TRUE,0.309924109510776,TRUE
"Probe_45--Probe_6813","Probe_45","Probe_6813",0.883223063241025,TRUE,0.350044294564554,TRUE
"Probe_45--Probe_13869","Probe_45","Probe_13869",0.75010628952928,TRUE,0.40789860178794,TRUE
"Probe_45--Probe_5186","Probe_45","Probe_5186",0.781429775148929,TRUE,0.276240460225982,TRUE
"Probe_45--Probe_3720","Probe_45","Probe_3720",0.859237711872018,TRUE,0.330977533521845,TRUE
"Probe_45--Probe_6142","Probe_45","Probe_6142",0.790722496878465,TRUE,0.275314485972728,TRUE
"Probe_45--Probe_3909","Probe_45","Probe_3909",0.698293332521985,TRUE,0.34760355488945,TRUE
"Probe_45--Probe_11812","Probe_45","Probe_11812",0.730148020645979,TRUE,0.273853596998723,TRUE
"Probe_45--Probe_2452","Probe_45","Probe_2452",0.798970404377162,TRUE,0.358107563038218,TRUE
"Probe_45--Probe_7001","Probe_45","Probe_7001",0.411467442178719,TRUE,0.0871218071321866,TRUE
"Probe_7185--Probe_5998","Probe_7185","Probe_5998",0.892218906339781,TRUE,0.535209314174351,TRUE
"Probe_7185--Probe_13266","Probe_7185","Probe_13266",0.78372212809498,TRUE,0.459010379391565,TRUE
"Probe_7185--Probe_46","Probe_7185","Probe_46",0.97311389335627,TRUE,0.807199523664224,TRUE
"Probe_7185--Probe_7186","Probe_7185","Probe_7186",0.97311389335627,TRUE,0.807199523664224,TRUE
"Probe_7185--Probe_6731","Probe_7185","Probe_6731",0.908615052640297,TRUE,0.289767534300064,TRUE
"Probe_7185--Probe_3597","Probe_7185","Probe_3597",0.806871791635843,TRUE,0.278641980368195,TRUE
"Probe_7185--Probe_5729","Probe_7185","Probe_5729",0.931887692492473,TRUE,0.516284463902039,TRUE
"Probe_7185--Probe_1995","Probe_7185","Probe_1995",0.752927373866001,TRUE,0.430842418126392,TRUE
"Probe_7185--Probe_4454","Probe_7185","Probe_4454",0.9067456738932,TRUE,0.307891522515888,TRUE
"Probe_7185--Probe_4614","Probe_7185","Probe_4614",0.741328462817555,TRUE,0.319231157446863,TRUE
"Probe_7185--Probe_14347","Probe_7185","Probe_14347",0.792751807358538,TRUE,0.168357599587921,TRUE
"Probe_7185--Probe_6457","Probe_7185","Probe_6457",0.901449830015792,TRUE,0.487169393852934,TRUE
"Probe_7185--Probe_6732","Probe_7185","Probe_6732",0.630292048700619,TRUE,0.406382517940596,TRUE
"Probe_7185--Probe_7889","Probe_7185","Probe_7889",0.734524936910462,TRUE,0.431393769345269,TRUE
